"Name","classN","percentage","pruning_type","percentage-pruned"
"happy-dew-120","att_vec_linear","[0.8]","class-blind","76.2298583984375"
"eternal-snowball-119","att_src_linear","[0.8]","class-blind","85.7666015625"
"whole-frog-118","pred","[0.8]","class-blind","82.61585255651946"
"rare-surf-117","decoder_lstm","[0.8]","class-blind","75.07038859577922"
"treasured-totem-116","decoder_cell_init","[0.8]","class-blind","77.83031798245614"
"visionary-glade-115","encoder_lstm","[0.8]","class-blind","71.77382888497081"
"charmed-breeze-114","tgt_embed","[0.8]","class-blind","80.05156304766912"
"noble-salad-113","src_embed","[0.8]","class-blind","79.66211810002811"
"lunar-field-112","att_vec_linear","[0.7]","class-blind","66.92911783854166"
"vivid-frog-111","att_src_linear","[0.7]","class-blind","77.02713012695312"
"solar-dust-110","att_vec_linear","[0.8]","obd","8.2977294921875"
"different-blaze-109","pred","[0.7]","class-blind","72.95828951980371"
"driven-frog-108","att_src_linear","[0.8]","obd","12.99591064453125"
"valiant-cloud-107","decoder_lstm","[0.7]","class-blind","66.3168374594156"
"fluent-flower-106","pred","[0.8]","obd","83.44510917783911"
"graceful-galaxy-105","decoder_cell_init","[0.7]","class-blind","68.14083820662769"
"polished-durian-104","decoder_lstm","[0.8]","obd","36.912921063311686"
"sparkling-cloud-103","encoder_lstm","[0.7]","class-blind","61.83065570282101"
"noble-blaze-102","decoder_cell_init","[0.8]","obd","70.3764619883041"
"azure-dew-101","tgt_embed","[0.7]","class-blind","69.88685840562566"
"amber-universe-100","encoder_lstm","[0.8]","obd","29.63050218871595"
"driven-field-99","src_embed","[0.7]","class-blind","69.36625544734622"
"spring-frost-98","tgt_embed","[0.8]","obd","94.45519245092883"
"mild-frost-97","att_vec_linear","[0.6]","class-blind","57.622782389322914"
"blooming-jazz-96","src_embed","[0.8]","obd","80.79914179891287"
"clean-pine-95","att_src_linear","[0.6]","class-blind","67.48886108398438"
"whole-wildflower-94","pred","[0.6]","class-blind","62.986621127979326"
"graceful-haze-93","decoder_lstm","[0.6]","class-blind","57.5490817775974"
"easy-sunset-92","att_vec_linear","[0.7]","obd","5.322265625"
"elated-paper-91","decoder_cell_init","[0.6]","class-blind","58.51836622807017"
"neat-shadow-90","att_src_linear","[0.7]","obd","8.49609375"
"sandy-rain-89","encoder_lstm","[0.6]","class-blind","52.44083627188716"
"worthy-dew-88","pred","[0.7]","obd","72.32888078338591"
"sage-deluge-87","tgt_embed","[0.6]","class-blind","59.76665187960042"
"likely-water-86","decoder_lstm","[0.7]","obd","28.471616274350648"
"breezy-sun-85","src_embed","[0.6]","class-blind","59.20473382196745"
"treasured-serenity-84","decoder_cell_init","[0.7]","obd","58.257188109161795"
"graceful-resonance-83","att_vec_linear","[0.5]","class-blind","48.17962646484375"
"light-leaf-82","encoder_lstm","[0.7]","obd","20.704549945282103"
"comic-butterfly-81","att_src_linear","[0.5]","class-blind","57.175445556640625"
"sunny-armadillo-80","tgt_embed","[0.7]","obd","89.15178718125657"
"devoted-grass-79","pred","[0.5]","class-blind","52.82913887245881"
"floral-violet-78","src_embed","[0.7]","obd","67.73583445924838"
"breezy-water-77","decoder_lstm","[0.5]","class-blind","48.56724330357143"
"still-lion-76","decoder_cell_init","[0.5]","class-blind","48.844115497076025"
"valiant-sunset-75","encoder_lstm","[0.5]","class-blind","43.331921054231515"
"vibrant-jazz-74","tgt_embed","[0.5]","class-blind","49.70271835567823"
"hardy-star-73","att_vec_linear","[0.6]","obd","3.55224609375"
"pretty-wildflower-72","src_embed","[0.5]","class-blind","49.136612707350594"
"denim-plant-71","att_src_linear","[0.6]","obd","5.846405029296875"
"expert-dust-70","pred","[0.6]","obd","60.83152602523659"
"clear-bird-69","decoder_lstm","[0.6]","obd","22.503677962662337"
"peach-violet-68","decoder_cell_init","[0.6]","obd","47.68061647173489"
"upbeat-frost-67","encoder_lstm","[0.6]","obd","14.89333809581712"
"deft-snowball-66","tgt_embed","[0.6]","obd","82.23630074154399"
"robust-eon-65","src_embed","[0.6]","obd","55.37238419996251"
"lemon-snow-64","att_vec_linear","[0.5]","obd","2.415974934895833"
"jumping-cosmos-63","att_src_linear","[0.5]","obd","4.038238525390625"
"winter-donkey-62","pred","[0.5]","obd","49.34875295741325"
"vivid-sun-61","decoder_lstm","[0.5]","obd","17.718141233766232"
"peachy-water-60","decoder_cell_init","[0.5]","obd","37.96753167641326"
"robust-blaze-59","encoder_lstm","[0.5]","obd","10.699344145184824"
"brisk-pond-58","tgt_embed","[0.5]","obd","73.61636531173326"
"dandy-energy-57","src_embed","[0.5]","obd","43.84980699993753"
"fresh-haze-42","att_vec_linear","0.8","","2.623494466145833"
"glorious-aardvark-41","att_src_linear","0.8","","41.168975830078125"
"restful-planet-40","pred","0.8","","62.339960814274455"
"denim-water-39","decoder_lstm","0.8","","37.08096590909091"
"misty-bird-38","decoder_cell_init","0.8","","21.686159844054583"
"atomic-darkness-37","encoder_lstm","0.8","","36.573405581225686"
"deep-resonance-36","tgt_embed","0.8","","93.79559345425868"
"vivid-glitter-35","src_embed","0.8","","95.87530702336696"
"fluent-wood-34","att_vec_linear","0.7","","1.3346354166666663"
"icy-morning-33","att_src_linear","0.7","","24.533843994140625"
"hardy-eon-32","pred","0.7","","40.46706591745531"
"youthful-smoke-31","decoder_lstm","0.7","","24.63106229707792"
"twilight-haze-30","decoder_cell_init","0.7","","12.474110623781677"
"crisp-snow-29","encoder_lstm","0.7","","24.451681055447473"
"earnest-silence-28","tgt_embed","0.7","","87.83852797493866"
"dry-glade-27","src_embed","0.7","","91.85087255162288"
"confused-shape-26","att_vec_linear","0.6","","0.7146199544270833"
"dry-waterfall-25","att_src_linear","0.6","","14.48822021484375"
"lemon-music-24","pred","0.6","","25.36597988958991"
"sleek-thunder-23","decoder_lstm","0.6","","15.671672077922077"
"wild-mountain-22","decoder_cell_init","0.6","","7.248263888888889"
"worldly-leaf-21","encoder_lstm","0.6","","15.643904274075876"
"dandy-energy-20","tgt_embed","0.6","","77.97052307877672"
"frosty-snow-19","src_embed","0.6","","84.83976943472557"
"fresh-sunset-18","att_vec_linear","0.5","","0.42266845703125"
"rich-frost-17","att_src_linear","0.5","","9.01031494140625"
"olive-elevator-16","pred","0.5","","16.304075479758147"
"worldly-armadillo-15","decoder_lstm","0.5","","10.171722808441558"
"charmed-wave-14","decoder_cell_init","0.5","","4.410331384015595"
"lilac-glitter-13","encoder_lstm","0.5","","10.13060098492218"
"gallant-dust-12","tgt_embed","0.5","","65.24204236768314"
"genial-tree-11","src_embed","0.5","","74.68698504029865"
"solar-rain-10","att_vec_linear","90","","5.578104654947916"
"lunar-salad-9","att_src_linear","90","","66.95480346679688"
"drawn-universe-8","pred","90","","87.84316604780057"
"soft-bush-7","decoder_lstm","90","","52.4993658685065"
"valiant-energy-6","decoder_cell_init","90","","38.41145833333333"
"vocal-pine-5","encoder_lstm","90","","51.689510122811285"
"earnest-resonance-4","tgt_embed","90","","97.206990174816"
"magic-gorge-3","src_embed","90","","98.14937882680952"